Block ID,Device ID,Timestamp,AHT10_1 Temperature,AHT10_1 Humidity,AHT10_2 Temperature,AHT10_2 Humidity,DS18B20_1 Temperature,DS18B20_2 Temperature,Light level 1,Light level 2,Soil moisture 1,Soil moisture 2,TTN time,Confirmation time,Response time,Explorer URL,Confirmed
0x7bbcc84f57d11ab8a9cf01e77417b1f4beca56727eaaa15b405ae073906b8117,device-esp32-tfe,2024-12-06T12:35:07.727544,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:35:07.283114,2024-12-06T12:35:07.939206,0.66,https://explorer.shimmer.network/testnet/block/0x7bbcc84f57d11ab8a9cf01e77417b1f4beca56727eaaa15b405ae073906b8117,True
0x81162740de948a77a606098dc25aa5a50ee12d397cebe0f9e302b2b5badbd68f,device-esp32-tfe,2024-12-06T12:35:30.992556,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:35:30.762571,2024-12-06T12:35:31.187502,0.42,https://explorer.shimmer.network/testnet/block/0x81162740de948a77a606098dc25aa5a50ee12d397cebe0f9e302b2b5badbd68f,True
0x1947cf8ea33330933f8f1c7650a5b0e2ec2ba4f597ea93139d5ad40119d9828d,device-esp32-tfe,2024-12-06T12:35:47.947317,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:35:47.072406,2024-12-06T12:35:48.065202,0.99,https://explorer.shimmer.network/testnet/block/0x1947cf8ea33330933f8f1c7650a5b0e2ec2ba4f597ea93139d5ad40119d9828d,True
0x783ff9f480b67adcee7d8185627d32ba042216f7b964ac2bb26cd3c6ada31732,device-esp32-tfe,2024-12-06T12:36:03.571179,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:36:03.426625,2024-12-06T12:36:03.714426,0.29,https://explorer.shimmer.network/testnet/block/0x783ff9f480b67adcee7d8185627d32ba042216f7b964ac2bb26cd3c6ada31732,True
0xe500b639284c580bea9eef004cbfd2829d9b55f0b05ae0506242699c8e081169,device-esp32-tfe,2024-12-06T12:36:21.331274,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:36:19.692200,2024-12-06T12:36:21.448551,1.76,https://explorer.shimmer.network/testnet/block/0xe500b639284c580bea9eef004cbfd2829d9b55f0b05ae0506242699c8e081169,True
0x5a56efd8066ffcf5059c7c17830ebc7563a47077935ecff98df6a195117c510e,device-esp32-tfe,2024-12-06T12:36:36.573680,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:36:35.999523,2024-12-06T12:36:36.801488,0.8,https://explorer.shimmer.network/testnet/block/0x5a56efd8066ffcf5059c7c17830ebc7563a47077935ecff98df6a195117c510e,True
0x94729c107e1f6049810b0d1f4f50fd685035d55d55c217865b82aad76fc3e4a8,device-esp32-tfe,2024-12-06T12:36:53.515385,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:36:52.311272,2024-12-06T12:36:53.749736,1.44,https://explorer.shimmer.network/testnet/block/0x94729c107e1f6049810b0d1f4f50fd685035d55d55c217865b82aad76fc3e4a8,True
0x6d296224ad288b5132349eaabc555216083f5df071528a1a572d4b1b3db8518c,device-esp32-tfe,2024-12-06T12:37:09.051623,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:37:08.625779,2024-12-06T12:37:09.175561,0.55,https://explorer.shimmer.network/testnet/block/0x6d296224ad288b5132349eaabc555216083f5df071528a1a572d4b1b3db8518c,True
0x305eeaafe436ae4a597907121e218fccf793223cb3d6b4e363a9f990e350ed4d,device-esp32-tfe,2024-12-06T12:37:25.342199,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:37:24.934568,2024-12-06T12:37:25.574350,0.64,https://explorer.shimmer.network/testnet/block/0x305eeaafe436ae4a597907121e218fccf793223cb3d6b4e363a9f990e350ed4d,True
0xa6e944cc0c3c6da2e6bb0b7cfb93582ef3662721cceed6439055e421752b545d,device-esp32-tfe,2024-12-06T12:37:42.091610,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:37:41.245063,2024-12-06T12:37:42.252939,1.01,https://explorer.shimmer.network/testnet/block/0xa6e944cc0c3c6da2e6bb0b7cfb93582ef3662721cceed6439055e421752b545d,True
0xba15ac7b1327b7ce12434f1adebcf5906a765ba48997c1e733d07986a0addf6a,device-esp32-tfe,2024-12-06T12:37:57.787183,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:37:57.544436,2024-12-06T12:37:57.908380,0.36,https://explorer.shimmer.network/testnet/block/0xba15ac7b1327b7ce12434f1adebcf5906a765ba48997c1e733d07986a0addf6a,True
0xe4c58300c7a1bc631105c0498acfb1d57bfa1ec8e83c93e23d93303bf6585e2b,device-esp32-tfe,2024-12-06T12:38:14.579818,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:38:13.861236,2024-12-06T12:38:14.704679,0.84,https://explorer.shimmer.network/testnet/block/0xe4c58300c7a1bc631105c0498acfb1d57bfa1ec8e83c93e23d93303bf6585e2b,True
0x8153b636ce05249b3265e99a6564363d152586aa931b7a5d47a18c90fde71262,device-esp32-tfe,2024-12-06T12:38:30.480771,25.0,65.0,25.0,65.0,22.0,22.0,60.0,60.0,15.0,15.0,2024-12-06T12:38:30.168265,2024-12-06T12:38:30.613677,0.45,https://explorer.shimmer.network/testnet/block/0x8153b636ce05249b3265e99a6564363d152586aa931b7a5d47a18c90fde71262,True
