Block ID,Device ID,Timestamp,AHT10 Temperature,AHT10 Humidity,DS18B20_1 Temperature,Light level 1,Soil moisture 1,DS18B20_2 Temperature,Light level 2,Soil moisture 2,TTN time,Confirmation time,Response time,Explorer URL,Confirmed
0xe40cc3067f3b62d6f9e4a9caec5184efee55e63b2a70918726c91a7c806c6206,device-esp32-tfe,2024-12-06T12:52:29.818446,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:52:29.143386,2024-12-06T12:52:29.950388,0.81,https://explorer.shimmer.network/testnet/block/0xe40cc3067f3b62d6f9e4a9caec5184efee55e63b2a70918726c91a7c806c6206,True
0xd309bcd815791c7c1dd5dc6a7f823fd543c48d092619230ac0d846135e3df7c7,device-esp32-tfe,2024-12-06T12:52:45.790263,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:52:45.455755,2024-12-06T12:52:45.911580,0.46,https://explorer.shimmer.network/testnet/block/0xd309bcd815791c7c1dd5dc6a7f823fd543c48d092619230ac0d846135e3df7c7,True
0xbf23fbe6ab75f25e372e2a3ef7c95e8cd110faec04abd6dd04fef53371cd8594,device-esp32-tfe,2024-12-06T12:53:02.312190,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:53:02.052349,2024-12-06T12:53:02.451234,0.4,https://explorer.shimmer.network/testnet/block/0xbf23fbe6ab75f25e372e2a3ef7c95e8cd110faec04abd6dd04fef53371cd8594,True
0xcc669b4b3d1c6fdafc11ef8d2a80f449bcc92f71806f824b4a0e20aff17b0d0f,device-esp32-tfe,2024-12-06T12:53:19.387317,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:53:18.059201,2024-12-06T12:53:19.514832,1.46,https://explorer.shimmer.network/testnet/block/0xcc669b4b3d1c6fdafc11ef8d2a80f449bcc92f71806f824b4a0e20aff17b0d0f,True
0xbed6f114de367721f6c9c18e1952684086c6970dc3954347bd298e6f35ec113d,device-esp32-tfe,2024-12-06T12:53:35.173933,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:53:34.372082,2024-12-06T12:53:35.448557,1.08,https://explorer.shimmer.network/testnet/block/0xbed6f114de367721f6c9c18e1952684086c6970dc3954347bd298e6f35ec113d,True
0xb5480f2bfadff548fcfc0b7d6beafa5f831d20c63c1e2a6168571e426b4ccd0f,device-esp32-tfe,2024-12-06T12:53:50.933439,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:53:50.682952,2024-12-06T12:53:51.155140,0.47,https://explorer.shimmer.network/testnet/block/0xb5480f2bfadff548fcfc0b7d6beafa5f831d20c63c1e2a6168571e426b4ccd0f,True
0x513a5f94ad7879cb63e85907a809cc088f781655741ad06b47347dd8582ee047,device-esp32-tfe,2024-12-06T12:54:07.383111,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:54:06.983426,2024-12-06T12:54:07.638082,0.65,https://explorer.shimmer.network/testnet/block/0x513a5f94ad7879cb63e85907a809cc088f781655741ad06b47347dd8582ee047,True
0x45a43d0da37d2714aaeb87d73ff7d76b4d37c3e764bffe70c713dcd8f646d0e6,device-esp32-tfe,2024-12-06T12:54:23.502882,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:54:23.295978,2024-12-06T12:54:23.641731,0.35,https://explorer.shimmer.network/testnet/block/0x45a43d0da37d2714aaeb87d73ff7d76b4d37c3e764bffe70c713dcd8f646d0e6,True
0xd39694958caab43ac5d87d733b6ff6791404d3473b745aadbc319af17c248ef0,device-esp32-tfe,2024-12-06T12:54:41.871296,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:54:39.588815,2024-12-06T12:54:42.049056,2.46,https://explorer.shimmer.network/testnet/block/0xd39694958caab43ac5d87d733b6ff6791404d3473b745aadbc319af17c248ef0,True
0x022176bda8af0dc1ac41f494d1db3417483b49a94e80c42e89dad4965516b287,device-esp32-tfe,2024-12-06T12:54:56.140124,25.0,65.0,22.0,60.0,15.0,25.0,65.0,22.0,2024-12-06T12:54:55.890122,2024-12-06T12:54:56.445190,0.56,https://explorer.shimmer.network/testnet/block/0x022176bda8af0dc1ac41f494d1db3417483b49a94e80c42e89dad4965516b287,True
