Timestamp,Operation,Original size (bytes),Encrypted size (bytes),Encryption time (s),Transmission time (s),Total time (s)
2024-12-06T19:19:58.067184,encrypt,315,504,0.000999,0.000000,0.000999
2024-12-06T19:19:58.614363,send_encrypted,315,504,0.002000,0.544658,0.546658
2024-12-06T19:20:36.038063,encrypt,313,504,0.001014,0.000000,0.001014
2024-12-06T19:20:36.753432,send_encrypted,313,504,0.002959,0.711912,0.714871
2024-12-06T19:21:15.590295,encrypt,313,504,0.000000,0.000000,0.000000
2024-12-06T19:21:15.787567,send_encrypted,313,504,0.002003,0.194273,0.196276
2024-12-06T19:21:54.171719,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T19:21:54.555637,send_encrypted,314,504,0.003016,0.378876,0.381893
2024-12-06T19:22:33.852697,encrypt,315,504,0.000000,0.000000,0.000000
2024-12-06T19:22:34.778409,send_encrypted,315,504,0.001150,0.923533,0.924684
2024-12-06T19:23:14.075110,encrypt,313,504,0.000000,0.000000,0.000000
2024-12-06T19:23:14.332321,send_encrypted,313,504,0.001971,0.255313,0.257284
2024-12-06T19:23:49.992459,encrypt,312,504,0.000000,0.000000,0.000000
2024-12-06T19:23:51.065844,send_encrypted,312,504,0.001506,1.068829,1.070335
2024-12-06T19:24:27.493259,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T19:24:28.191240,send_encrypted,314,504,0.001911,0.693985,0.695897
2024-12-06T19:25:07.942202,encrypt,313,504,0.000000,0.000000,0.000000
2024-12-06T19:25:09.053298,send_encrypted,313,504,0.002393,1.107697,1.110090
2024-12-06T19:25:49.418940,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T19:25:50.099718,send_encrypted,314,504,0.001999,0.677793,0.679792
2024-12-06T19:26:23.157370,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T19:26:24.266322,send_encrypted,314,504,0.000999,1.106955,1.107954
2024-12-06T19:27:02.266287,encrypt,313,504,0.000000,0.000000,0.000000
2024-12-06T19:27:02.444301,send_encrypted,313,504,0.000999,0.176010,0.177009
2024-12-06T19:27:41.519472,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T19:27:42.312337,send_encrypted,314,504,0.001000,0.790821,0.791821
2024-12-06T19:28:19.204552,encrypt,314,504,0.000998,0.000000,0.000998
2024-12-06T19:28:19.900208,send_encrypted,314,504,0.001998,0.688673,0.690671
2024-12-06T19:28:53.784858,encrypt,312,504,0.000000,0.000000,0.000000
2024-12-06T19:28:55.872875,send_encrypted,312,504,0.000994,2.086015,2.087009
2024-12-06T19:29:30.452346,encrypt,314,504,0.001322,0.000000,0.001322
2024-12-06T19:29:30.598380,send_encrypted,314,504,0.002319,0.143034,0.145353
2024-12-06T19:30:06.079222,encrypt,314,504,0.000000,0.000000,0.000000
2024-12-06T19:30:07.500795,send_encrypted,314,504,0.001001,1.420585,1.421587
2024-12-06T19:31:56.865418,encrypt,311,504,0.000000,0.000000,0.000000
2024-12-06T19:31:57.473984,send_encrypted,311,504,0.001967,0.602064,0.604031
2024-12-06T19:32:35.265395,encrypt,311,504,0.000000,0.000000,0.000000
2024-12-06T19:32:37.764652,send_encrypted,311,504,0.000965,2.498250,2.499215
2024-12-06T19:33:14.749394,encrypt,312,504,0.000000,0.000000,0.000000
2024-12-06T19:33:15.088279,send_encrypted,312,504,0.001002,0.335881,0.336883
